,Date_Epoch_Week,Review_Text
0,2704,"If you are at all interested in Computer Science or just logic gates (redstone masters in Minecraft), this game is great for stretching out that brain muscle. The fact there are so many kinds of solutions you can make while learning different parts of a computer is so fun."
1,2704,computer go beep boop
2,2704,"Huge potential, but definitely an early access title.I recommend this depending on what you want to get out of the game, but with a HUGE caveat that it doesn't do anything to teach you new concepts beyond giving you a puzzle to play with and test your guesses. As such, I would recommend this as a supplement to a course like the famous ""NAND 2 Tetris"" course or the accompanying ""Elements of Computing Systems"" book to learn the theory then apply/test it in Turing Complete.Another big caveat is that in addition to not explaining the computing concepts, the interface to the game isn't explained very well either. This lead me to about 15 minutes of blindly clicking random UI elements to figure out what the game wanted of me. If you're used to looking at truth tables, you'll probably have an easier time figuring it out, but the interface is still very awkward, with the signal emitter toggles in the far left of the screen and the truth tables on the bottom (and some of the tables are interactive, and some aren't, and it's not telegraphed well at all) and the components in the far right. I also had some dialogue boxes overlay on top of each other, making them impossible to read. I think this is exacerbated since I'm playing on a linux computer with a hidpi display, which makes everything super tiny and probably out of place.One last thing is that as far as I can tell, when you move a component, you can't move any of the signal routing ""wires"" with it, so you have to delete the wires and re-connect them if you need to move components to organize your circuit better. I'm sure that if there's not already a way to preserve connections, there will be one soon enough.Overall, I recommend it to people who are aware of the issues with the current early access build and still want to play it or support the project, otherwise I'd say wait until it's a bit more polished. Regardless, I think it has a ton of potential and am really excited to see this game evolve."
3,2704,"A game made with Godot and written with Nim, I am super impressed!"
4,2704,fun
5,2704,Easy steps lead to building a fully functional computer
6,2704,A really cool way to learn low -level stuff
7,2704,"Already I can see this evolving into a great puzzle game, kind of a cross between shapes.io and Infinifactory  (both of which I also recommend). There are definitely occasional crashing issues, and I see very strange behavior switching focus from one monitor to the other (but this may be the fault of the game library, Godot). I have not made it to the end of the game yet, but I already feel drawn to it, and that is praise enough for me to give this game a thumbs up."
8,2704,this game crashes randomly A LOT. Very disappointed.
9,2704,"There is a saying, which I think perfectly describes this game, that goes : ""if you cannot explain something in simple terms, you don't understand it"". Puzzles are ordered in a (mostly) logical order which will allow you to learn how to build ever increasingly complex components from previous learnings, without ever feeling overwhelmed. Whether you are a programmer/computer engineer just brushing up on known concepts, or starting from scratch with an interest for logic or computing, this game will syphon more time than you can imagine.I was worried the game was going to be too railroaded or just plain tedious but here I am spending an extra half hour / hour (s) after completing a puzzle just to get is a compact, elegant and efficient as possible.At the time of writing this review, the game has a few issues and crashes rather frequently when trying to move/delete things but thankfully any change is auto-saved so I never found myself losing any progress. Moreover the developer seems committed to fixing and improving his passion project & updates are very frequent from what I have seen.Moreover, if you have no prior knowledge of logic or binary, I suggest you look up on some material to get you going : boolean algebra, Karnaugh tables and binary. The game has clear instructions on what to do to solve a given puzzle but it won't teach you how.---If you are into computer hardware and/or software, or just like challenging puzzles that teach you something, you won't regret getting into Turing Complete!"
10,2704, dark souls
