,Date_Epoch_Week,Review_Text
0,2757,balls
1,2757,"This game is not complex from my point of view.  Missing lots of things. For example on multiplayer you cannont see what you write on chat or what he answer. Also, suppose to be more challanging aginst other players to make the game more interesting. Find someting that make other want to play against like PVP, like against TIME or against computer."
2,2755,buggy mess and everything is client sided in multiplayer. roblox games are more polished
3,2755,"Full of glitches, no private multiplayer. Borderline unplayable"
4,2755,"buggy mess. everything is on the client side on multiplayer, can cheat engine in multiplayer. cheating in this game was more enjoyable than playing it normally"
5,2755,miney
6,2755,fun but i cant move my mouse without dragging it across my table tens of times
7,2755,gay
8,2754,"This game is great, if you are into crypto mining or are just curious about the process i would recommend getting this game. it is sort of similar to pc building simulator but in the crypto space with live price action for trading and current prices for gpus."
9,2754,
10,2754,terrible game the owner nor devs actually care about or care to update only care about making more money without the quality it takes to be worth anything this is just terrible and terrible design could have gone somewhere with someone or a company that wanted to make a game like this good instead of just grabbing cash
11,2754,  
12,2753,"i like how it use fast time so i can know what to expect, there should be a unemployed tally too to feel the passive flow true amounts"
13,2753,basic and simple
14,2752,ok
15,2752,Not worth the money barely even two hours of gameplay and I beat it overall L.
16,2751,"Can't really recommend this game. Seems to be pretty poorly constructed. I'll try to point out some of the design flaws.Game crashed and dupped the rig I was working on. I broke the game and I wasn't even tryingUI is pretty confusing. You can't tell what is buttons and what isn't.Inconsistent UI, i.e. you can sell Eth from the escape menu but have to go into the market to sell BTC.Outside of the tutorial, which is short, there's really nothing to do but let money accrue. Might as well be an idle game.Some store items show the price on mouse over, some don't. Instead of your mining room being a different level, it's just far away from the store, so sometimes you can see the text from your room hovering far in the distance from the store.All in all, none of these are terrible things, but put them all together and it seems like a game that was thrown together in a week and no attention was paid to detail. Then they charge $10 for it. Not worth it in my opinion. The only reason I have so many hours is because I just left it on, made a bunch of money, and bought all the best stuff."
17,2751,The games bugs have been fixed and its now a really good game but it takes a long time to make money but still fun
18,2751,it whas good intil they stoped uppdates (NOT RECOMEND)
19,2750,"i dont think the devs intended me to get this far, filled the entire room with ASICs"
20,2749,"Its a good game, Just need more updates."
21,2749,Game so realistic that it mines on your own rig :p
22,2749,I really like this game has a couple bugs where if you build in the same case it gives you parts already in the case not sure why but i rate it 8.5/10
23,2749,"Yeah there is some bugs in the game and considering that they are back! I have faith in them considering they are trying to make this serious and work,"
