,Date_Epoch_Week,Review_Text
0,2701,Really fun game with a nice atmosphere. I will definitely play through it again.
1,2698,"A sublime masterpiece, having much more substantial gameplay than Thirty Flights of Loving, and somehow more style, too. Going into it, I wasn't sure I would enjoy the aesthetic--early 20th century music and decor with retro computer tech plus sci-fi mega-cities, and cybernetic augmentations. But in the levels where all three 'eras' of design are combined, it creates a unique and truly pleasing setting. An station with hallways of art nouveau windows, letting in red light from the sun setting in the upper atmosphere, leading to 70s-like hospital wards of light-green tile, where you're meant to download a patient's electronic brain. (It's a shame that level didn't work on Linux; it's a good port overall but myself and others on Linux have run into a gamebreaking bug with the doors there.) Normally I would worry that too much gameplay would water down a series like this, that has so far been far more style than substance. But the levels are so dense with interactivity and props to inspect, that the two really drive each other.Extremely creative, it truly feels like there is a great vision creating the game. Despite being significantly longer than previous games, I am as always left wanting more, and anticipating whatever comes next."
2,2697,could not finish it because of a dismaying bug when the console doesn't clear but it seems like it's a rare bug. sucks for me but i it deserves a chance as it is a good game and you should play it!
3,2696,"Brendon Chung's unique narrative ability is very apparent in between the heist sequences. And the story here was actually quite a surprise. The game's many mechanics are fun to use, but with only 10 heists adding one gadget at a time, there's an almost uncomfortable amount of wasted potential in QC. Dont get me wrong; this is a nicely-crafted and gripping game that I wont soon forget, it's just that it could be so much more..."
4,2696,great game
5,2694,Can't believe I haven't already done a review for this. Everything this guy touches turns gold and this is no exception. My only complaint? The game ended.
6,2692,"What I like about this game is that is has a retro futuristic feel to it while also allowing me to feel some degree of nostalgia for the old days of computer use.  The ""hacking"" is pretty fun and I like the deck used in the game.  It has a fun feel to to it.  The music is pretty good, although I do turn it off just so that I don't get too distracted.  Plus cute robots to use.  Its worth your time and money to play and replay."
7,2691,good game
8,2691,A nice short little puzzle game. Some of them took some work to figure out but it always made sense so felt satisfying.
9,2691,"Took me years to get around to playing this but man did I absolutely love it. The use of basic elementary coding does a great job of making you feel like a ""hacker"" thief and from what I can tell there are countless ways to achieve your goal. Like the final stage involves using a lot of complicated processes to bypass a bunch of laser grids in order to get into a locked room. I tried this for awhile and got frustrated and climbed outside of the building to rig up a robot gun to shoot my way through the room's window. This kind of out of the box thinking is what made it so enjoyable (aside from the whole style and vibe -- loved this.) Will absolutely play again and hope for more time in this world someday."
10,2689,c o d e
11,2689,"It was a fairly short game, but I loved it. The puzzles were interesting and the world was very creative. At the end I only wanted more."
12,2689,"interesting mechanics, but a bit short"
13,2688,    heist .    .
