,Date_Epoch_Week,Review_Text
0,2748,"the game is good 7/10TLDR: not everyone cup of tea, its a very hard puzzle plataformer. more appealing if you are into coding. enjoyed with walkthrough : https://steamcommunity.com/sharedfiles/filedetails/?id=314249342i could list the points why its not better, but in the end it sumsup to one thing, learning curve, in the beginning its easy, then suddenly you need to look at algorithm, i have a small knowledge of coding, end had a hard time understanding, someone with zero knowledge? harder time. the game has an classic nes zelda vibe, so it has no tutorial, no map and no clear objective.its pretty cool how free you are to change the code, if you know how to do so.imagine battletoads difficulty, but you dont need skill, you need knowledge.i got up to level3, after that i played with an walkthroug, the level 5 is very confusing tho. https://steamcommunity.com/sharedfiles/filedetails/?id=314249342"
1,2748,"Years late review, but yeah this is half finished abandonwear"
2,2727,"You need to have some programming, debugging and reverse engineering knowledge (just the basics) to play the game.It was fun to play. I well spent evening."
3,2724,"What the hell happened here, Double Fine? Not to mention, why isn't it fixed yet, half-a decade later?!?1. Character may at times keep walking for a bit more, after you having let go of controls.2. Number 1. is severaly annyoing whenever it happens on a ledge or a bridge...causing certain death.2.5 See Number 1.2.75 See Number 1 AND Number 3.3. AFTER THAT HOWEVER, sometimes you will experiencie respawn repeatedly in  mid-air!!! In the same damn spot where you just fell to your death caused by Number 1 and Number 2...causing a chain of multiple, instant deaths..(4. AND random crash-to-desktop occurs often..!!!!!!)(3. and 4.. AND .X random crash-to-desktop occurs often..!!!!!!)This game is ABSOLUTELY NOT FINE , by any meaning of the word Fine .. :((Going by the developers apparent complete abandonment of bug-fixing:HACK n DASH would be more fitting title."
4,2722,"Loved playing this game! The mix of puzzles and programming are awesome! It starts simple, with only changing variables, true/false, numbers for health and times a rock can be pushed and text for a password. Later you get access to scripts where you can again edit some values and change some logical comparisons. Basic understanding of if statements and variables would help a lot, but I think anyone interested in logic puzzles would be able to enjoy this game.Multiple ways are available to get past some puzzles. Some resulting in skipped sequences.No editing of the game's files are required to play the game, but some scripts are editable, for those who feel like it, just make sure to back up your files, in case something breaks.Editing in game always let's you go ""back in time"" so if the world ends, you can go back to before the change was made."
5,2718,I liked it - but it was never finished.
6,2715,"This game is great for good enough programmers with some free time. For those, I definitely recommend it. The game provides multiple, amazing ways to solve many puzzles."
7,2659,"This game is, yes, finished. There is at least one area you get an error from after you've modified some (but not quite enough of the) code. Very few games give you what is essentially the source code for almost (if not all) of the game, editable inside the game itself.Quite an accomplishment, and still fun for programmers and others interested in playing around with code via somewhat odd methods of changing string constants and fiddling around with closures.I liked it, though I've been coding since the 80s. Lua script is quite popular for modding these days, and this will expose you to it, though not really ""train"" you how to code."
8,2653,clever game which is extremely fun for programmers and people who want to learn programming.
9,2649,"Game is really fun, but you can progress through many steps while missing things that are important later, then 3 hours later you realize you're stuck and you don't know why. (For me it was the lamp - that I could skip and pass the guard by hacking myself and giving myself speed and the language that was not decoded)"
10,2638,if you like puzzle games and programming then this is for you :3
11,2638,"Little to no, direction /explanation"
12,2636,"Really want to like this game but sadly I can't see myself recommending it. I think I enjoyed it partly because it was ""zelda-like"" and partly because I am a programmer. If that sounds like you and nothing in the cons is a deal-breaker, wait for a sale.Pros:- Decent animation/music/audio- simple controls that will remind you of early zelda games - early-game, it can be fun to wander around the world, ""hacking"" enemies/rocks/etc and solving puzzles- liked the concept and at least the early game implementationCons:- lot of late game crashes, especially in the ""algorithms"" that appear in the tower. I think a large part of this is because they draw animated connecting lines from the input on the left to the associated pieces on the right.- pretty much all of the late game stuff everything in the tower would be way too complicated for non-programmers. Even some programmers might have trouble with them without spending considerable time  to read through very long functions. I haven't worked with lua at all which the game references so i am not sure if the code snippets in game are spot-on lua or a gamified version but it didn't resemble javascript/java/c/c++/c#/python/bash very much except maybe in terms of IF statements. - when you get to the parts that are more programming-like (functions and such), it doesn't do that great of a job of making it into an experience of ""learn programming by playing a game""... so no value if you were hoping to teach kids programming this way... unless you're a sadist. they might get a good idea of state-based flags that can be memory changed and IF statements. Game technically touches on Loops but it is fairly late game and IMHO done poorly so that non-programmers would probably struggle with the concept (e.g. you might get a hidden dialog box commenting on it but it is out-of-the-way and easy to miss, even then doesn't really do a good job explaining). Doesn't really touch on types much besides boolean and integer and some string.- i thought the ending and ""explanation"" was kinda half-baked. not terrible (def seen worse) but still enough for me to list it as a con."
13,2635,"Fun game. Starts off simple, just increasing or decreasing variables (like health). Later on in the game it gets more interesting and requires a bit of thinking. Overall it was short, but fun."
