,Date_Epoch_Week,Review_Text
0,2704,"Feels like a 3D Factorio with levels instead of open world survival. Good Story, Great Music, and Amazing Gameplay!"
1,2704,Ruined with blasphemy and profanity. For what reason?
2,2703,I would maybe recommend it if it's on sale and you just want a puzzle game that's going to sit around
3,2703,"For the price, it's totally not worth it. Maybe $5. I'd much more recommend Mindustry, Factorio, or satisfactory."
4,2703,This is a fun puzzle game with a fun story though the latter levels get crazy. good game overall
5,2702,"It reminds me of Rubik's Games from 1999.Puzzles get difficult perhaps a bit too early, as they can take some time to solve.The game will be 100% saved if you Alt+F4. Even starting you at the puzzle the next time you launch.You progress by solving puzzles, not by how you solved them.It's very addictive, and time flies very fast when you're immersed. No day/night cycle doesn't help your sense of real time.Don't forget to sleep."
6,2701,"After a lot of time with this game, this is an easy recommend. However, if you aren't into this type of logic game where you have to think and use your brain 24/7 while playing, and instead want to play a game that helps you relax, this aint it. I myself love the way this game is laid out, and it also gets brownie points for running on a potato macbook or a M1 using rosetta."
7,2701,I found the levels got increasingly tedious instead of more interesting and challenging.
8,2700,"I really love this game. 3d world puzzle block builder. Great levels and each one can be played simply to complete or try to optimize for speed, area, or block count giving each level a lot of enjoyment to continue to optimize after first completing it."
9,2699,"A really polished, eraly assembly and design game - really, the first space engineers as far as I'm concerned. Beautiful, smooth, interesting to play - even used it to teach introduction to Industrial Design. Thoroughly enjoyable."
10,2697,List of Zachtronics games that involve you writing in assembly and or making a factory:InfinifactorySpaceChemOpus MagnumTIS-100ExapunksShenzhen I/Oiss good
11,2697,Infinifactory is a lot of fun. It tricks you into doing programming puzzles with a layer of factory abstraction on top :)
12,2696,"Funny enough the story is really immersive. You get kidnaped by aliens and are forced to designs factories for them. They reward you with space croquettes to eat. Then something happens...puzzles are very fun. Everything you make is technically made out of the same stupid block with different skins, but somehow  the illusion works. You'll truly feel like you are assembling tanks and massive missiles that get used in battle. You'll build cars, carve whales and do many other fun stuff like it."
13,2696,good puzzles. hard puzzles.
14,2695,"Infinifactory is a good puzzle game, that I would recommend checking out. Assembling and transporting objects is a fun challenge and its pretty satisfying to go over a solution again to improve it.If I have one criticism, its that levels towards the end get more tedious, because objects become more unwieldy and you also have to make sure that your assembly line doesnt block the objects. I seriously slowed down at the end and didnt have the motivation to improve my solutions, and I even dropped the game for like a year. After I came back and finished it, the final level still left me kinda frustrated, because the last challenge was less on how to construct an object and more how to keep my assembly line from blocking it.Still I would recommend this game, even if its more for its earlier levels than its later levels."
