,Date_Epoch_Week,Review_Text
0,2705,"It's nice and fun to get into, but it's got that enticing complexity that just makes me want to dive into it completely. I love it!"
1,2704,If(javaScript.isFun(you)){    const buy = this.game}
2,2704,"Look, I like programming, okay? Also, as a computer science student, as long as I get my work done, my teachers do not care for one second about me playing this. In fact, they love it."
3,2703,"The perfect game to keep your skills sharp or to create a whole new skill set. Screeps provides the rules for how your Creep colony sustains, and you must implement the code to support its growth. It is up to you to read the docs, test your code, and continually evolve/organize your code to find just the right solution to each problem you face.For more seasoned programmers/players, the fun really starts when you hit your assigned CPU time and/or memory limits. These limits are quite likely to make you learn something new about the game, programming, or both - no matter how experienced you are.Anyways, Screeps is an excellent game for anyone interested in computer programming at any level of skill."
4,2703,Excelent game for learning situational and automated programming in a fun way
5,2703,very fun but also educating. TRY NOW!
6,2703,if only I was smart enough to play this
7,2702,"easy to get into (with programming experience), nice API and - for me at least, having little previous experience with it - a nice entry to javascript."
8,2701,"I like the idea. I like the challenge. Still, I fail to write maintainable code in this game, and I have about 30 years of coding experience, so that is a humbling experience. That doesn't stop me from coming back and back, trying to figure out a nice coding pattern for managing my colony. I recommend it, but be warned that it takes quite a bit of thinking to get things working past the basic room :)Now, I'm off to try and create an automated road system with cached pathing for all routes."
9,2701,"fun, i write eveything in purescript then compile to javascript and it works just fine.  i would highly recommend if you are looking to boost scripting skills"
10,2700,I love the game omg
11,2699,Haz codez
12,2696,eehehe - uh oh
13,2696,is gud
14,2695,Do i like it? YES I LOVE IT.But its expensive... 100 for unlocked cpu ...
15,2695,"Good, if complex. Not a quick play."
16,2694,One of the greatest game ever
17,2694,"Too many work for simple actions, it will be better with community open code support and modding"
18,2693,"One-of-a-kind. Very fun, even when you're surrounded by stronger players."
19,2693,yes very very good yes
20,2692,Developer wanting too much money!
21,2692,My day job is a programmer. My game is programming.
22,2691,"Are ya coding, son?"
23,2691,"Best game to learn game development fundamentals if you already know JavaScript.Why JavaScript? this is because the game was created with this particular language, however there are ways to play with other programming languages they are not recommended if you are brand new to programming in general as they require a few workarounds with Node.js.Now that this is out of the way I can continue by stating this won't teach you how to make games, but it can teach you the basics of game ai and the game loop which are a huge part of modern game creation."
24,2691,"very fun but disappointing when you get destroyed by tigga, private servers are pretty cool tho"
25,2689,PE
26,2689,"Bad graphics but unreasonably addictive. Shard3 is filled with many players who have quit long ago, their ancient empires continuing to stumble forth on their own.Edit: After a hundred hours in, some issues are starting to show. The most annoying one are the vast number of lazy players who just slap on a slightly modified or unmodified open source bot and gain an unfair advantage. Wish there was some way to police it, because I put in hours making my code *good* and I have to face down someone who spent 3 hours in game copying bots from github."
27,2689,Has been a great way to work on my coding skills
28,2688,I so freakin love this game. - Still too much of a challenge to me but love the freedom to do and design what you can imagine.
29,2688,"Pros: It's a very interesting concept, and art is pretty niceCons: I could make a better game :D JK. But speaking seriously, devs here milk too much money from their playerbase. They really need to chill out"
30,2687,"I was not told that you need to pay more after buying the game.The fact that you can buy ""dlc"" to unlock CPU means jack nothing to people that didn't play the game."
31,2687,"As a retired coder, i was excited to see this sort of game. Alas, the business model is somewhere between incoherent and totally opaque. ""CPU unlocks"" bought on Steam don't show up in the game... I just wanted to take a look.... <sigh>"
32,2686,i'm not very well at javascript and some of programming software lol. but it is really great and fun game and i'm recommend this game for any programmer or someone who want to create AI. just try demo from website before buy it on steam.
33,2686,"#Discussions_QuoteBlock_AuthorScreeps is a MMO RTS sandbox game where you can learn, practice and improve your programming skills having a fun withthe most used language in the world, the JavaScript. The game has a lot of content, and its verybeginner friendly. They have a good support, and a great solid community behind the scenes. If you enjoycoding, I really recommend this game! One of the features that I should mention is flexibility, you canplay through a browser or client, you can play alone, or in official servers, community servers or youcan have your own server, which you can tune everything to your own way. Even talking about code, youcan find the files and use all them inside your favorite IDE. For VSCode users I have a suggestion, insome repositories on GitHub, you can find support to implement Intellisense for better experience. Ihope you enjoy the game, it worth each penny.Useful Links: Official Website: https://screeps.com/ Game Documentation: https://docs.screeps.com/ API Documentation: https://docs.screeps.com/api/COST x BENEFIT    There is no ""price"" that could represent it    Spare some money, you shouldn't lose this.    Worth the price    Reasonable    Not worth the price    Just another f*** Pay-to-Win game    No Man's Sky Scam! Burn your money should be better.  PC REQUIREMENTS    A potato can run it easily    Check if you can run Paint    Low-End PC    Mid-End PC    High-End PC    Rich-Boi PC    Ask NASA if they sell computers, then order one.  GRAPHICS    You forgot what reality is    Beautiful    Good    Standard    Bad    Please dont look too long at it    Made with Paint.exe  AUDIO    Eargasm    Very good    Good    Standard    Not too bad, but not recommend for ""Misophonics""    Bad    Earrape  GAMEPLAY    Addictive like heroin    Very good    Good    It is just gameplay    Mehh    Starring at walls is better    Just dont  STORY    If you want story, then go read a book    Snippets of text or audio floating around    Average depends an DLC    I almost fell asleep with this story    Good story    Awesome story    It will replace your life story  AUDIENCE    Babies    Kids    Teens    Young    Adult    Old    Ancient  DIFFICULITY    Just sit a potato in front of your pc    Dont need a brain, just movement to press buttons    Monkey's Homework    Average Human Brain Usage    Easy to learn, hard to master    Asian Content, Hardcore    Game Over, Dark Souls  GRIND    Nothing to grind    It isn't necessary to progress    Only if you care about leaderboards/ranks    Average grind level    Too much grind    I have a dream...    Sorry buddy but youll need a second life for grinding  GAME TIME    WTF, Already Over?!    Long enough for a cup of tea    Short    Average    Long    This journey will be a season of your life    To infinity and beyond  BUGS    Never heard of    Minor bugs    Sometimes can get annoying    Assassins Creed: Unity    Bug Level - Kingdom Come: Deliverance    Get a bug spray. Or more. A lot more. Or maybe a flamethrower. Or a nuke.    Hakuna matata"
34,2686,"I was a fairly seasoned JavaScript developer before this... Or so I thought...Playing Screeps learned me that my code was horribly in-efficient and that I caused far more bugs due to silly oversights than I initially thought.All in all, I do enjoy this game quite a lot, though it may be very daunting for new players that don't have any experience with JavaScript."
35,2685,"Boring, pay even after you bought the game, and nothing interesting to it. Yeah sure, if you like to code you may enjoy this game, but I didn't and I enjoy coding."
36,2685,"Screeps is a kind of game I've dreamed about for a long time, but never found time to implement it myself. Ultimate programmer's challenge. Visually simplistic but it offers unrivaled possibilities for intellectual joy and achievement. Reasonably complex game mechanics are coupled here with real programming language and all power it brings to you. It might be a somewhat challenging for non-programmers to get into it, but for experienced programmers it will be non-issue. On other hand it saves players from predicaments of using toy languages lacking mature abstractions.I'am now 10 hours into the game but I'am only scratching the surface of it's tasks and possibilities trying to get my basic colony online. Even after few iteratons I see a lot of potential for improvements to my programs and that is just managing basic resource gathering and construction. Defense and conquer is still something for me to grasp and master.This is a great game for experienced programmers and for people, who want learn basics of programming and javascript."
37,2685,"Steep learning curve and I can only recommend this if you have some programming knowledge. I'm a working software engineer and I struggle trying to make this game work at times. It's a highly complex and rewarding experience.If you plan to play on official servers, this is kind of like an EVE Online plex model type MMO. You can run out of CPU cap eventually so there is an incentive to be efficient with your code."
38,2685,"First off, I liked this game, as a hobbyist Python coder, I found this to be an interesting way to branch my skills out.Secondly, and this is personal preference, but I think a more fleshed out tutorial would have been nice figuring out how to programmatically place construction sites was a bit tough, though I may not quite be at the skill level expected for the target audience."
39,2684,Excellent game if you like the RTS genre and programming.
40,2683,"Always liked automation games, this one takes it up a few levels more. COMPLETELY automate everything and improve your programming skills in the process."
41,2683,"Screeps is a Real Time Strategy game (RTS) in which players create minions called creeps that mine energy, build walls, towers, mineral extractors, etc. Build bases in a grid of players. Screeps does not hold your hand and you need to do a lot of research to play the game. Is it worth it? Yes. You can learn real world usable Javascript code since all code is done in javascript. Of course if you look slightly further, you can also learn Typscript since its nearly the same thing. The satisfaction you should get from creating your first creep, to mining to building fully automated bases and building economies that can support hit and run death squads. If you can write the code, the creeps will do it. To a fault. You'll find problems fast as your creeps are just as dumb as you programmed them to be. They're simple and only do what you told them. Every moment playing this game is pure learning and creativity. I'd recommend this to anyone interested in Automation games like Dyson Sphere Project and Factorio to consider the true coding experience of this game in comparison. I warn everyone again, however, THIS GAME WILL NOT HOLD YOUR HAND. Be prepared for hours of pouring over the internet and documentation and watching other people and reading their code. You're learning javascript now. Oh and there's a game. But you're learning javascript. You will be better at life after having learned javascript. It will be pain to learn javascript. You will feel like a god when you learn javascript (if you've not coded much before). You will be able to will your creeps to be born into existence and command them to build vast colonies to take over the shards of the ether. You will be able to trade with your allies for powerful drugs to buff your creeps. If you're looking for gameplay, this game has it, the thing is: you just need to write the code for it."
42,2683,"Imagine you favorite game: Legaue of Legends, Tarkov, Dead By Daylight, etc- this game is better than all of those. Graphics are the same though."
43,2682,"Default font is far too small to play the game comfortably and there is no way to increase it.For a game that depends on reading and writing code, this renders the game unplayable."
44,2681,"Play the free tutorial/sandbox online before you buy it.If you do buy it, don't get a subscription, just get the game on Steam and play in Shard 3. In Shard 3, everyone else is also new to the game (subscriptions aren't allowed). Once you feel comfortable, consider getting a subscription so you can step into the big boy shards.Oh, and don't worry about losing your base. Starting from scratch is just another way to write better code. It's fun!Side note: If you're considering not trying the game because you hate JS, there are bindings you can use to write in basically any other language"
45,2681,"Great game, helps you not get bogged down in JavaScript and definitely has addictiveness!If you can't program under stress, you'd better think your script through. The invaders (PVE & PVP) will come and if you are not prepared it will cost you a lot of resources.The game can also be ""played"" via the browser. If you're addicted, you can even get e-mail notifications about just-in-time attacks, and then quickly push code on the go. Provided you have enough skill.Great game, NO pay to win, the better code wins!"
46,2680,"I do like this game but I do not know if I can say I love this game. I wanted to find a programming game that would allow me to sharpen my coding skills which this game does do. However, I am not really a PVP type of game player. I still do highly recommend this game however. The game is just not for me because of the PVP nature of the game."
47,2679,This offers a good way for people to practice their JavaScript skills and it's really fun
48,2679,"This is a great game for learning and practicing how to use the Javascript programming language which is the most widely used language in Internet browsers. Even if you're already familiar with JS, it's a great way to challenge yourself by writing efficient and optimized code due to CPU and memory constraints that will require caching and other advanced techniques. The back-end server runs on Node.JS which is also widely used in server-side Internet services and is all open source making it another great learning resource. I've had a blast over the last 4 years battling others code vs code, highly recommended!"
49,2678,"It's not a game. It is a programming learning application. If not so you can't imagine how a game without SFX, BGM can have so many players. I would recommend this ""game"" but still I hope the developers can make it more like a game."
50,2677,Probably the only game with such depth and programming.
51,2677,"A really well done API; it almost feels like it's actually a part of JavaScript. The functions are optimized to the point of a casual player not worrying too much about efficiency, and the servers run as smooth as butter. Overall 9.8/10 would reccomendI've removed .2 points for the in range not working where it should under very specific circumstances, but I'm sure it'll get sorted out eventually."
52,2676,This game can be really fun. However I do not recommend to play this on a mac. Although the game isn't too intense it can sometimes crash on a mac. It is much smoother and neater on Windows.
