,Date_Epoch_Week,Review_Text
0,2704,I'm too stupid to play this game.
1,2704,"Extremely well-designed game! That solitaire achievement though, am I right?!"
2,2704,"Love it, fun game!"
3,2704,"Very challenging. I only took a Java 101 back then in the Uni. Only issue with this game is it lacks instruction. The textbook pdf has all the code language but not enough example. Also, as a bilingual person I sometimes need to switch back to English for more accurate instruction. But overall it is a good game. The mini-game is great, and has some room of improvement."
4,2704,Any game that makes you print out datasheets is an easy recommendation.
5,2703,i cant
6,2703,My brain hurts. At least there is that amazing solitaire game when you need a break. PROTIP: READ THE MANUAL. If you don't have another monitor to reference it definitely print it out. (Otherwise you won't get very far)
7,2702,I write assembly at work so I get paid to buy games that let me write assembly at home :/
8,2702,spent most of the time playing solitaire 10/10
9,2701,my head explode
10,2701,I think I've found this the hardest one out of all of Zachtronics games. Some puzzles took me several days to solve. Will really get that hamster inside your brain running!
11,2700,Fun programming puzzle game. With the emphasis on efficiency. Really gets your mind going.
12,2700,"Ingenious abstraction and simplification of a real world of embedded devices.So much suitable for children education.Definitely not for everyone, should have some basic knowledge about hardware and low-level programming to enjoy this game."
13,2699,"Best game ever, just. It's just like work, but without the soul crushing ambiguity."
14,2698,"Best puzzle game for any sort of engineer (even upcoming). It's a lot of fun trying to find the optimized solution, though also just as much fun seeing what sort of alternate variations you can come up with. The ""prototype"" areas act as a sandbox and really lets you run wild with ideas and experimenting.The use of a physical manual, the fake OS, and the emails all add an extra immersive level mixing realities together. You almost feel like you're doing the real thing going between the manual pages, emails, and the CAD software. Though I should add it's a lot more fun and rewarding than that sentence may initially lead you to believe haha.Even the included solitaire game is good. The extra card sets in addition to the ""usual"" solitaire gameplay offers more fun and thinking than the usual fair.Overall, a great puzzle game that not only gets you thinking, but actually teaches you some assembly language and even some circuitry too."
15,2698,"worth the money, a bit weird how it uses some assembly code but not really. felt a bit limited with jmp (ex: can't use jmp with offset or jne / jeq). wish the game could give the user a bit more freedom and maybe allow us to create parts."
16,2698,My favorite solitaire game ever. It also comes with some kind of programming mini-game attached. That's pretty good too.
17,2697,Good solitaire game.
18,2696,Good and addicting game.
19,2696,"like most zachtronics games, it's a little overpriced, but I think that is because there is little competition in this genre.  it's worth the sale price though"
20,2696,Have you taken a machine language programming class or aspire to take one? This game gives you something to do with that.
21,2695,"Not for everyone, but if you feel you may like this, then go for it"
22,2695,"The game is great, but you can't reset it and play it again, as Steam resynchs your progress from the cloud backup and there doesn't seem to be a good way to stop it. If it weren't for this, I'd give it a thumbs up."
23,2694,An interesting puzzle game with the veneer of software engineering. Electrical or Software Engineers may find it difficult to adjust to the unique control model and circuit design.
24,2694,learning...
25,2694,Good puzzles
26,2693,"Hmmm... just need to figure out this one thing and I'm done with the puzzle...OH WAIT, I can just do thi- nope...Oh actually, if I just do tha- hmm no...Wait, I just figured it out, it was so obvious, all I have to do is- nevermind..."
27,2693,"As always, a great Zachtronics game. My favorite of all the Zachtronic games I played, and on top of the zachtronic-like games as well. I like it more than Opus Magnum, SpaceChem or the strange hex thingy. I find it harder than the other ones as well."
28,2693,Bought this for the programming and just ended up playing 150 hours of solitaire instead.
29,2693,"A great puzzle game to remind myself that I am not that smart, and not good at puzzle games."
30,2693,Got this after playing a decent bit of TIS-100. The additional layout challenges + the more fluid UX makes me enjoy this even more than TIS-100.
31,2692,"If you are an electronics engineering student like me, this game is a great start. 10/10"
32,2692,It's a really joyful and meaningful game.
33,2692,Learning programming tricks can be fun
34,2692,You like programming? You like Zachtronics? You like ROBUST and SIMPLE code? Get this game.
35,2692,"amazing game, worth every dollar."
36,2691,Great game. The puzzles are enjoyable and can get somewhat frustrating toward the end.
37,2691,"yeah I just bought a raspberry pi yesterday, how could you tell?"
38,2691,Hahahahahhahahaahhahahahahahaha I wish I could go back to blissful ignorance when I didn't know about race conditions
39,2691,"Cool game -- though if you plan to 100% the achievements, be prepared to play a lot of solitaire."
40,2690,teq game good+ recommendslp 1
41,2690,100 % The best solitaire I have ever played.
42,2689,Assembly is fun :3
43,2688,simple enough if you take the time to read the booklet but complex enough to keep you busy and i have learnt a lot
44,2688,Absolutely
45,2688,"If you are an actual controls engineer, as I am, you will find the following too intensely frustration to enjoy this as a game in the long term: 1. Gimmicky and limited instruction set.2. Gimmicky and limited programming boxes. (arbitrarily limiting your lines of code, in a time when everything in the world has 1gb micro sd cards embedded on them now)3. Gimmicky and un-natural io points / mounting locations. Instead of designing things to have clean straight lines, and ease of interconnection, its so forced to have to snake stuff around in the limited boxes.I'm sure its a good and fun game, and I've had some limited fun, but I just don't recommend this if you are a real programmer - it is not enjoyable like real programming is."
46,2687,Procrastinate that difficult integrated circuit by playing solitaire in-game.Cry over the tiny space you have and your poor space management.Become frustrated when you see how poorly your circuit performs against others.This game is the Quintessential Engineer Experience.
47,2687,"I really wanted to give a negative review but this is what I opted in myself, like, I read the reviews and everything and I know what it's gonna be like and I still bought it...So I'm not gonna blame the game... Instead Ill just call myself an idiot."
48,2687,I love it 
49,2687,No idea what I'm doing but the struggle is fun.
50,2687,"not for the faint of heart. if you don't like reading documentation and experimenting, this game isn't for you. there's also at least one crucial piece of information that isn't included in ""the documentation"" thats needed to solve a particular puzzle, just FYI. I think it's somewhere in ""your emails""i enjoyed this, though i was very frustrated at some points, but i guess thats the nature of puzzle games"
51,2687,needs vim keys.5/5
52,2687,999/999 would nerd snipe again
53,2687,p. good
54,2687,Signed up for an assembly puzzle game but got distracted by solitaire instead.10/10 The puzzles are a great sidequest
55,2686,Good puzzle game if you like programming. It can be hard if you are not good at programming.
56,2685,"It's a must-have if even mildly interested in assembly style programming.Difficulty is high, but only if aiming for optimized solutions like those in the histogram. Otherwise, it's not very difficult."
57,2685,"Ahh, after a whole day of doing embedded system job, nothing beats the refreshing feeling of another embedded system job at home10/10 will make you wondering all day how tf does people designed machines that are way more optimized than yours"
58,2685,this game is super fun & requires critical thinking. 9/10 from me
59,2685,"oh no, im learning"
60,2684,"Awesome game if you like assembly and programming. Not for the faint of heart though, some puzzles get really difficult and take some time to work through. But it is an overall super fun experience and I'd buy it again in a heartbeat."
61,2684,"Recommended...with some caveats.Its a decent puzzle game, and if you're the sort who enjoys programming in your off time you'll probably get a kick out of it.As someone who's day job involves a lot of systems coding, I found the game sort of frustrating at times. Yes, its ""realistic"" in the sense that it (sort of) a lot like ""real"" assembly programming. But I found the limitations imparted to make it a puzzle, often more frustrating rather engaging.  In some ways its ""harder"" than the real world. Not in the actual problems, or even the solutions themselves, but in the super limited abilities of the various pieces. Which hey, if I didn't work in code day-in, day-out It wouldn't bother me as much. So tl;dr;. Fun programming logic and puzzle game, but wasn't exactly for me."
62,2684,great
63,2682,pretty cool
64,2682,"Definitely an accurate experience of how it is work with assembly.My only real problem with the game is that the documentation is absolute bollocks. Highly recommend traversing the internet's version of the documentation instead.Yes people, ""gen x x x"" is a command and you will fall in love with it."
