,Date_Epoch_Week,Review_Text
0,2754,Clunky UI
1,2750,"The game is very good learning material. The bugs in the game make you spend even more time on a diagram and when you try to learn something new then it's actually positive. All the explanations for logic components are very good. I will probably use this game as a reference in the future if I have to refresh my memory on these topics.I read from the forum that developers are planning to rewrite the game to make it even better. I will sure buy it again. The current price is a steal for such great information that is put together as the engineering books are usually either dry and/or expensive.Thank you Pb Studio developers, I love it!!!UPDATE!A Calculator level is unbeatable as the test seems to be buggy - There is only one interrupt fired at step 12 and that's it, the rest of the steps the input data does not change . So you can not finish the game, which is very unfortunate as I still think it has been such great learning experience so far"
2,2745,"The lack of a ""mixed"" review option is a problem again... This is a pretty great game that kind of bridges the distance between stuff like Zachtronics games, and ""real"" hardware engineering, from simple logic gates to microchips.  Think of it as one step beyond Shenzhen I/O, where you have to wire individual input and output pins. I have no formal education in computer science or any kind of engineering, and still greatly enjoyed it.However, it's unfinished, unpolished, and abandoned. The game is online only for no good reason (the dev wanted to produce a version for tablets and phones that would require online to run properly, but that never happened) and, probably in part because of that, the game doesn't run nearly as smoothly as it should. I would love to see the game improved and completed, but it's been abandoned since 2016, so odds seem incredibly low.For 5.69 CAD, I'd still recommend it to anyone interested. The game is janky, but it's got a fair bit of content and is genuinely unique, in that I've never seen any other game bridge the gap between Zachlikes and ""real"" engineering in that way, although maybe there are professional products that might do the same."
3,2730,"Don't Buy, The game isn't even finished and they took the website down and the game can't be played!"
4,2729,"Such a shame about this game, however for quite a few years now the developers keep quoting that an overhaul of the engine is required and yet no progress has been made. Interesting concept, but fails to deliver anything of substance in its current state."
5,2717,"I like the game , the idea and ofc what it brings.But as an alpha it misses stuff and design is a bit cheap? Also i love the fact we can program our own stuff but at the same time the api miss of friendlyness.I love stuff like thinkercad, but we caint design our own chip.Hmmm it's hard the concept is good , the thing is ultra promising it is not ready to be published i think.I will be a  i will get a refund...I hope developer still on it , it deserve attention and funds.I give a 5/10 , 5 point that belongs to the conceptual and application of the product.To get another five point , gameplay, game design or any related to those two example will need to be completed.I keep it in my library crossing my finger to further developpement.For the moment i don't recommended as a playable game, but as an investor you can see where the thing is going. I give a thumb up and wish that my money and everyone else dont finish in a dead end without seeing a 1.0."
6,2715,"If this game is finished, it will be very fun and I'll probably lose countless hours enjoying it. As it is currently, the interface is too unfinished for me to find it fun, and the developer's most recent update that I can find is that they ""hope to revive this one day"", so I'm not going to hold my breath for an update anytime soon. Maybe I'll be pleasantly surprised?"
7,2714,"The best game about engineering. I started playing this game as a practice simultaneously reading Harris & Harris book. Game starts with a quick revision of gates with some tasks. After that, adders, substraction, multiplexers, ALU, memory. Dreams of a hardware engineer came true in this game9.7 / 10-0.3 because of inconvenience in making circuits. It is better to use square highlight rather than click on every wire to delete. Also it is very hard to translate part of circuit to another place. Please provide an ability to use square higlight!"
8,2654,"Its a nice concept. It is very similar to MHRD, but still lacks a lot in terms of execution. The following things I noticed - 1. The wires bend as they please and get connected to random points, there is no way to control how they are drawn.2. The testcases are run one by one. It is just a tedious process and does not add any value. Also, each testcase takes quite a few seconds for some reason, they would be instantaneous. 3. The text may appear too small, should be able to adjust the text size.4. The steps are too large, you can only play it if you already know about half and full adders etc. Sort of beats the purpose of the game."
9,2654,"Conceptually, this game could be great fun and teach people the essence of digital circuitry at the same time. However, in the current state, I simply cannot recommend playing this game, and sadly I do not expect this to change soon either.Almost all of the gameplay consists of the following: interpreting instructions, then dragging a whole bunch of components into the workspace, connect these with wires, and then test whether the solution works. There is nothing wrong with this, but there are so many basic features lacking that this soon becomes a tiresome business. A few examples: Components are visibly sluggish when moving/dragging them around. Once drawn, lines cannot be moved, and any adjustments have to be made by removing the existing line, and then redrawing the line section. Lines and components cannot be selected as groups. This means that if you want to move a certain section of your circuitry, you have to manually move every single line and component. The same is true for removing. When you move a component, every connected line disengages, requiring you to redraw the lines again. This is such a looming issue that it was faster for me to try out concepts on paper, rather than try them in the in-game sandbox. Inputs cannot be manually toggled (set to True/False), which means that partial circuitry cannot be tested as you are building it. This is essentially the experience you would get whilst drawing the circuits manually on paper. This however is a game where the meat and potatoes of the gameplay is literally building and testing circuits, so I would expect the tools to be on par with for example the CircuitVerse sandbox.  I have a few bones to pick with the instructions/objectives as well, or specifically, with their accessibility. They are displayed in a tiny window off to the side, and you have to constantly switch between pages using small buttons. However, the size of the window changes as you are switching between tabs, meaning it becomes a bothersome minigame just to access the instructions.There is more to mention, but I will leave it at this. The resulting experience just isn't particularly fun or engaging, and takes a lot longer than it has to. The interface is so clunky that I would rather just read the objectives, fire up LTspice or CircuitVerse and make the circuits there (because the actual problem solving IS a lot of fun!). I could have overlooked these issues if they were early access issues that would be ironed out as development proceed. But I am seeing reviews from over four years ago describing the same issues that I encountered. I therefore see no precedent that these issues will be addressed in the future, and it seems likely that the current state of this game is as good as it is going to get. And that simply is not good enough."
10,2651,"Probably isn't fair to give a review while in Alpha still, but this game jumps in theory and technology way too quickly. Some of the lessons aren't very clear and some of the parts aren't well labeled (such as inputs and outputs with multiple bits needing to label which in the LMB and MSB is at). Terms like LMB and MSB are used well before they are even defined. Scoring does not always make sense either. You can score lower using a solution with only one component (other than ins & outs) than you might get with 4 components. Some problems don't logically make sense (truth tables are incomplete). For example, a circuit to open a bus door can open the door even without true inputs. I've posted individual bug reports, but for now there is just too much work to be done. Visually, you can't even tell what a component is without hovering your mouse over it. If your input is a digit, you get a D but 3 different digital inputs all look the same."
11,2643,"Fun game but also difficult, I'm more into the software side of things but I'm also tired so that's my excuse for being bad. I did run into a bug when I middle clicked on a component in the list and then tried to move them around on the main area but I just reloaded the game."
12,2637,complicated but like most things put the time in and study it and your golden.
13,2636,"I can not recommend this game in it's current state.After a couple levels, components stopped functioning correctly, the testing phase stopped working ( froze ), and I could not save my circuit.  I did managed to 'save' one of my circuits ... it did not load correctly, and had many wires and components missing .I also have no clue how to move the map around to create more complex circuits ( I pushed all the buttons on my keyboard and mouse ) . I really like the idea behind this logic game, but as it is, it's a buggy mess that is frustrating to play .I've also noted a few logic errors in some of the instructions for the circuit designs ."
14,2626,Teaches what classes can't.
15,2622,.
16,2620,"Game crashed by changing the background. Also only works with an active internet connection. For such a simple game, requiring an internet connection seems really big brother."
17,2617,"In it's current state, I do NOT recommend buying this game. It is very buggy, and there are many broken parts in the game. One of the components flat out had a ""burned out pin"" for whatever reason, and made it harder to troubleshoot the problem when I couldn't complete the level. (I forgot to clarify this is not supposed to happen to my knowledge, just the game didn't behave as expected)However the developer announced 1 year back that they would remake the game in the Unity game engine. (It's currently based in CefSharp, C# bindings for the Chromium project). Hopefully that announcement will still hold up, but for now just avoid this game."
18,2609,"Seems to be another logical simulation game/guide thing, but completely peppered with issues. I didn't go more than a minute or two before having another complaint/suggestion for the game. Considering it was released in 2016, and still has so many issues, I do not recommend getting this game since it seems very unlikely that it will ever be fixed and actually enjoyable to play.Here are some of the issues I have:1. when first opening the game, it tells you ""This game requires your full attention while playing. [...] Do you want to play now?"" of course I want to play now, that's why I opened the game...2. there are basically no settings in the game. It will always run fullscreen borderless, you cannot change the controls, and there are no simple options you can use to change this.3. when I opened the game, it asked if I wanted to open the web-browser version. It said it would remember my choice. I clicked no, but now I'm curious to see if it's less buggy in a web browser. Well I'm not sure how to make it un-remember my choice since there's no options menu... maybe I could reset all the saved data, but then I would lose my progress in the game... what a horrible solution.4. the intro tutorial is horrendously slow-going. First time opening the ""design mode"" it greeted me with a four page text introduction, and it reads like a book.5. seems like the mouse wheel just scrolls vertically, instead of zooming out. I cannot find a way to zoom in or out, or scroll horizontally for that matter, no matter which buttons or scroll wheel combination I use. Maybe the web browser version works better, but I'd rather just refund the game instead of testing this."
19,2584,Really enjoyed it at first.But then my saved solutions keep getting corrupted and there is one level for me which just goes to a black screen preventing any further progress in the game.
20,2575,"I'm shocked :OHardware engineering is a simulation tool for microprocessors with logical gates and wiring. If you are not familiar with electronics, this game will mean nothing to you. It is a must try game for junior computer engineersThis game is promising for especially computer engineers and i have started to play with hype, since i am a computer engineer. The game has a potential of being a very creative tool since it has enough material to come up with ideas and put to test. There is a sandbox mode too. This was all ok for 30 minutes. And then...The circuit i have developed was faulty and i tried to restart the simulation to test the circuit again. The game started behaving nonresponsive and i had to delete my circuit because i was unable to save it. And i tried to exit to the main menu. It did not work either. And i have inputted Alt + F4 (see what i did there). The game closed and decided to never open up again :DSo with sanity, i cannot recommend this game. It is not actually a game, it is great logical gates and processors tutorial tool with a sense of humor and lots of potential. But i have no idea if the game has more than that. I can not play it :D"
21,2568,"Why do i need to log into this ""game"" when it just takes me to a freaking website? Don't waste your time or money!"
22,2562,"This game has a lot of potential and I would love to see it succeed but it has too many problems, as well there is little hope that it will be updated ever again so good luck with the problems. As others have said it's a great idea with poor execution."
23,2554,"Great game, I like to play it, but I get a little technical troubles. Once upon a time the game switched from the windows application to the browser page, and I don't know how to get it back. When you have lost connection with the server you may lose your progress in solving the problem. And you can't move your viewport. If you build your scheme and come up against the corner or edge of the viewport then you need to redraw the scheme elsewhere because you can't move your scheme or move the viewport. It looks like the developer doesn't improve the game."
24,2550,"Kung tangkilikin mo ang automating redstone devices sa Minecraft, maaari mong matamasa ang challange ng paglikha ng bahagi ng lohika upang malutas ang mga problema sa tunay na mundo. Halimbawa, ang isa sa mga unang antas ay humihiling sa iyo na lumikha ng isang nuclear detonator. Mahusay na kasiyahan."
25,2548,"At the moment there are to many bugs in this game...Maybe later it would be better, but now it's not playable."
26,2536,"Going to preface this by saying even though I'm giving a Thumbs Down, I don't think it's terrible. I have a nuanced opinion that just slightly leans more towards the negative than the positive. I wish Steam Reviews could give a "" Mixed "" option as far as reviews go so with that said, I'll get on with it.First off, IF YOU HAVE NEVER DONE ANYTHING REMOTELY RELATED TO HARDWARE ENGINEERING AND WANT TO BUY THIS EARLY ACCESS, STOP. I really do want to like this game but I can't recommend it at its current state. Granted, this is Early Access, but still - this is more of feedback to devs than anything. Whenever this game exits Early Access and is updated into a more complete form, I'll gladly revisit this review.The developers describe this game with words like "" simple "" and "" easy "" but I don't necessarily agree with that description. Even when I was messing around with something like Car Mechanic Simulator (and I didn't know jack about cars before then) I got the hang of what to look for and memorized a majority of the components after about an hour or 2. With this, I'm 3 hours in and I'm stumped on the tutorial. Yes, there are explanations with each tutorial but I was still VERY lost. I ultimately had to turn away, go look up some fundamentals on YouTube, and then start over. In an attempt to dumb it down for everyone, it seems the developers have left out key information that would've made things a lot simpler to understand in the long run. I mean looking at it now, the logic gates just aren't very well explained at all. Maybe it's just me, but I found it much easier to understand wtf I'm looking at by learning the algebraic formulas for each and seeing the Truth Tables up front rather than reading the very miniscule descriptions offered for each in the tutorial. What's even dumber is that I'm usually TERRIBLE at understanding anything related to math. I'm a visual learner which is a huge reason why I got this.Despite what my name is, I'm not dumb. I can grasp the basic concepts of most things fairly quickly if I get a decent explanation. The fact I'm struggling this much means that the developers really oughta take another crack at this.Or maybe I really am just an idiot lolAt any rate, if there's anyone else struggling like I am, here are 2 resources I used that helped me understand Logic Gates better. http://electronics-course.com/logic-gateshttps://www.youtube.com/watch?v=IDf2vEcyDfs"
27,2529,"If you are interested in learning how computers are built, this is a great learning tool that makes the process more enjoyable by presenting educational material in a series of fun puzzles. It's similar to a slightly less polished zachtronics game, except with a computational model used in the real world."
28,2526,A terrible interface mars an interesting concept.
29,2525,Game is really neat but even tough my computer can take care of it it is still slow. And there are sometimes logic errors in explaining. Truth tables are right tough. Overall 5/10.
30,2522,"Great Game!Thinking with logic gates, inputs, outputs, and much more!The Competitive mode adds a bit of spiceBut complete a level to relax, and enjoy hardware engineering!"
31,2514,"The game require to have a connection with their servers to actually run, and where I live, the ping is extremely high.it cause my game to take longer to update what I am doing on the board and ontop of loading the game by itself.The reason why you can play on your webbrowser or in steam is because steam is nothing but just a webloader.The game is very interesting, and it require you to ignore the tutorials and actually find help using google.but I can not recommand it because of the extremly bad optimization.running a 4ghz processor and a 1080 graphic card, the game still struggle like hell to place and remove wire, place items and so on.Looking at the game source, I can see why, its nothing but an extremely huge .js file where all the game code is writen.sadness, so much potential wasted."
