,Date_Epoch_Week,Review_Text
0,2691,"The story is kind of ""meh"", but it doesn't matter, since the puzzles are great."
1,2691,"The story is kind of ""meh"", but it doesn't matter, since the puzzles are great."
2,2690,"So, I didn't like this game, but some people will. The main thing, I'd say, to warn about is that this game is REALLY ""solution oriented"", not exploratory. What I mean is: There is ONE best way to solve everything. (at least as far as I got) You're given a very specific numerical goal rather than a general goal that you can achieve in a multitude of ways. In other words, this isn't like Factorio, it's more like a math homework problem generator. If you failed geometry and never even took trig like me, maybe avoid this one lol. I had to look up remedial math videos to even try to finish the tutorials and only figured it out by literally copying someone else's picture. I consider myself to have a programmer's mind (Autistic) and am highly logical but with a real weakness in math (ADHD/Working Memory) so if you're like me... maybe don't get this one. I was hoping for something more procedural like Factorio or Production Line/Big Pharma. :\I think the issue is that THIS game is the work that I make my machines do in those games...(Summary: Too ""Te"" for INTPs)"
3,2690,"So, I didn't like this game, but some people will. The main thing, I'd say, to warn about is that this game is REALLY ""solution oriented"", not exploratory. What I mean is: There is ONE best way to solve everything. (at least as far as I got) You're given a very specific numerical goal rather than a general goal that you can achieve in a multitude of ways. In other words, this isn't like Factorio, it's more like a math homework problem generator. If you failed geometry and never even took trig like me, maybe avoid this one lol. I had to look up remedial math videos to even try to finish the tutorials and only figured it out by literally copying someone else's picture. I consider myself to have a programmer's mind (Autistic) and am highly logical but with a real weakness in math (ADHD/Working Memory) so if you're like me... maybe don't get this one. I was hoping for something more procedural like Factorio or Production Line/Big Pharma. :\I think the issue is that THIS game is the work that I make my machines do in those games...(Summary: Too ""Te"" for INTPs)"
4,2687,"Excellent engineering puzzle game. Easy recommend if you like this sort of thing. Reminiscent of Zachtronics titles, and while it doesn't quite reach the polish of those titles, it is still excellent in its own right."
5,2687,"it's nice game. computer science/architecture degree is a nice to have. good fun for 10+ hours. re-playability - after few years you forget all that stuff. great potential to optimise your designs in couple of difficult scenarios, can sink whole weekend into single puzzle."
6,2687,"Excellent engineering puzzle game. Easy recommend if you like this sort of thing. Reminiscent of Zachtronics titles, and while it doesn't quite reach the polish of those titles, it is still excellent in its own right."
7,2687,"it's nice game. computer science/architecture degree is a nice to have. good fun for 10+ hours. re-playability - after few years you forget all that stuff. great potential to optimise your designs in couple of difficult scenarios, can sink whole weekend into single puzzle."
8,2687,A very nice and challenging programming game.In this one to assemble circuits instead of line of codes.It had me stuck and puzzled a few times.I'm loving it.
9,2687,A very nice and challenging programming game.In this one to assemble circuits instead of line of codes.It had me stuck and puzzled a few times.I'm loving it.
10,2685,A bit of a brain-teaser but one that is so fun to play.You also get the feeling that you're actually learning from it too. If your grey cells need a bit of a tune up then this game certainly might fit the bill for you
11,2685,This is an essential game for everyone who works with IT
12,2685,This is an essential game for everyone who works with IT
13,2685,A bit of a brain-teaser but one that is so fun to play.You also get the feeling that you're actually learning from it too. If your grey cells need a bit of a tune up then this game certainly might fit the bill for you
14,2668,nice
15,2668,nice
16,2660,"I agree with every negative review as well. It's very clear the game is looking for one, optimal solution. There's no room to experiment, no room to have a correct but slower solution. So many times have I had a puzzle where I just needed a tick or two more and it frustrated me to no end. I also strongly dislike how little things are explained, or how little exposition there is, or how things are introduced only to be taken away from the rest of the game, or how tons of the scenarios are ""hey go do this, figure it out chump"" and you're just like huh??Obviously people like this game, and I'm glad. But this game honestly made me feel really stupid for not thinking exactly like the developer despite coming up with viable, albeit slightly slow solutions."
17,2660,"I agree with every negative review as well. It's very clear the game is looking for one, optimal solution. There's no room to experiment, no room to have a correct but slower solution. So many times have I had a puzzle where I just needed a tick or two more and it frustrated me to no end. I also strongly dislike how little things are explained, or how little exposition there is, or how things are introduced only to be taken away from the rest of the game, or how tons of the scenarios are ""hey go do this, figure it out chump"" and you're just like huh??Obviously people like this game, and I'm glad. But this game honestly made me feel really stupid for not thinking exactly like the developer despite coming up with viable, albeit slightly slow solutions."
18,2660,"Words cannot describe how much I love this game! If you like programming puzzles and interested in understanding the working of a computer, computer circuits etc, there is no way you won't like this game."
19,2660,"Words cannot describe how much I love this game! If you like programming puzzles and interested in understanding the working of a computer, computer circuits etc, there is no way you won't like this game."
20,2659,A fun way of exploring low level computer architecture. If you like a challenge you will like this game.
21,2659,A fun way of exploring low level computer architecture. If you like a challenge you will like this game.
22,2658,"A good balance of low/high level components while still being able to build powerful things.Really really appreciate the Linux port, the smooth/fast/responsive UI, and all the keyboard shortcuts.  The devs put a lot of time into polishing this and it shows."
23,2658,"A good balance of low/high level components while still being able to build powerful things.Really really appreciate the Linux port, the smooth/fast/responsive UI, and all the keyboard shortcuts.  The devs put a lot of time into polishing this and it shows."
24,2649,"Literally no explanation or help or hints anywhere at all. If you don't already know how to do it, don't bother. And if you do already know, why are you doing this rather than doing it for real? Pointless."
25,2649,"Literally no explanation or help or hints anywhere at all. If you don't already know how to do it, don't bother. And if you do already know, why are you doing this rather than doing it for real? Pointless."
