,Date_Epoch_Week,Review_Text
0,2701,This is a game just for those STEM kids who could beat math blasters when they were 3. Initially I was on board for the tutorial but it becomes @$z ramming hard almost immediately. Each puzzle feels like an end stage boss where they forgot to put the warm up levels in between. A smooth brain like me would have preferred a medium or easy mode which has more of an educational progression to logic and programming puzzles. I Guess I'll go back to games like Fire N Ice for the NES.
1,2686,"As someone who enjoys coding, I like this game. The problems thrown at you can be very demanding, but in the end it always feels rewarding to see a working flow.100% completion basically boils down to solving every normal problem. Especially the last few of them are really challenging, however, guides can provide some support in that regard. There is a hard version for almost every problem, but that mode is completely optional."
2,2679,"This is such a great engineering puzzle game!I spend a week on the final puzzle and enjoyed it from the begining to the end.It gives you such small building blocks, but you can use them to calculate pretty much everything (since the game is Turing-complete)The game gives you unlimited amount of nested integrated circuits that have inputs and outputs and that means you can make a ""higher-level"" elements that perform complex operations using the base elements.Want to add 2 numbers? Make a circuitWant to make a memory cell? Make a curcuit! Want to make a calculator? Use your ""add"" circuit and make another curcuit :D Really hope that 4Bit Games would continue making games like this. If you're working on something, please let us know. Can't wait to see what you come up with next"
3,2677,"First: this DOES work on MacOS Catalina. There's a big warning on the Steam page that says otherwise, bit it loads and runs just fine.I play this on a macbook and no mouse, so some of the interactions are awkward, but workarounds exist: - ""Left"" mouse button is a single-finger click on the trackpad- ""Right"" mouse button is a double-finger click on the trackpad- ""Middle"" mouse button is Option+Click on the trackpadOther than that, I have had no issues and am enjoying this game a lot."
4,2668,"Fun game if you like chill puzzles. I don't happen to like the way timing works, you just have to guess at it. There is no event order, other than this, great game."
5,2665,"An interesting programming game. The most interesting part of the game is the integrated circuits - which allow you to get around the very limited room available - giving you extra space. And, since you can nest your circuits - you really have a lot of room - but managing it - keeping track of it all - can be quite a challenge.The game badly needs some quality of life upgrades - I have played many programming games and seldom used any internal note taking/comment line support, but wow I really wanted it here. It also begs for a compendium where you keep your integrated circuits so you don't have to recreate them from scratch or scrounge through your inscrutable uncommented previous codes. There is a real opportunity here for a future version - finishing the game with a personal collection of tools that you can throw at bigger and bigger problems would feel great. Here - you can't even rotate a circuit (as far as I could tell) so I had to recreate it just to transpose it or rotate it. At least you can choose a few different colors for your circuits. One useful tool for me, in lieu of comments - was making all my circuits that are present just for timing the same color. Anyway - if you like programming games and have patience for this sort of limitation - this is a great game."
6,2664,"Interesting constraints on a lot of challenging problemsDesigned in a very visceral tactile kinda way, and the game just oozes style and atmosphere.  Really did not expect the level of lore / atmosphere the game delivered on"
7,2661,"Excellent puzzle game with outstanding complexity.Tools for solutions are complete garbage at first look, but they can be used in many unexpected ways, and therefore they are sufficient.Be mindful that the game is HARD. Probably one of the hardest puzzles on Steam.You may like it or hate it, but it is not yet another kindergarten level puzzle like Human Resource Machine or Shenzhen IO."
8,2661,"This is a negative review, because it does not work on macOS. The middle mouse button does not work, and it can not be reassigned."
9,2661,Tough puzzles but very rewarding and up my alley. I think it is a nice puzzle game for the winter sale price.
10,2660,"Great for seasoned programmers and for dabblers. You might not make it to the end, but the building and satisfaction when you build your own CPU is pretty nice.Unlike other programming games, you don't actually write code, and the basic building blocks aren't the obvious/boring ones in an EE/CS background. They're deceptive but fun nevertheless.Really appreciate how it reinforces hardware design and trade-offs between size and cost and speed. You can build a solution in a bare number of parts for cheap, but it's slow. Throw more transistors at the problem, and process in parallel and watch performance sky rocket. Or how generalized solutions might support all possible inputs, but tailoring sightly to the inputs can save significant components and time. I loved having to tweak wire lengths to make sure multiple units/inputs processed in the same time (just like real hardware signals propagate and commit in chips). Or the fact the ICs are limited to just 4 wires and you spend so much time debating how to reduce or multiplex your signals like so many damn chips out there. Or having to route wires in limited 2D space like real PCBs.You might not see these relationships with real world hardware design due to the funny components, but there are direct parallels all over the place. A good teaching tool.The graphics and audio were quite pleasing too.My biggest gripe is lack of copy and paste between puzzles. Considering the game design of using previous solutions as building blocks in later puzzles, having to replicate the blocks by hand is a huge pita. Like the memory blocks."
11,2660,"Fantastic art and gameplay and soundtrack.My only dislike is the sprite for the toggle wire.When I clicked on stuff around the board and the tentacles and hands and weird orbs reacted, it was such a fun moment. The flashbacks are slick, the animation really works for me.As of this writing I am trying to solve Reverse! These are getting harder :D, but I am enjoying experimenting. It would be cool if I could save designs in a little notebook, and then I could pull them out as sub-chips in any level, but I guess that is what graph paper is for!10/10 great work"
12,2659,"This game will put your brain on fire, if you like that type of game buy it as soon as possible."
13,2659,"make circuits, get headaches"
14,2658,Lots of fun. Well paced. Gets challenging despite seeming simplicity. Cool art/music.
15,2656,"Game seems good, just can't get over the fact that the component selection changes when you hover over an already placed component... makes component placement very finicky and irritating. Will come back to it in a while and see if the developers changed it.PS: Running the game on Linux Mint. Had to change launch options to `LD_PRELOAD=/usr/lib/libcurl.so.4 %command%` to get it to run and the sound also doesn't work.UPDATE: Runs fine when I use Proton... so it's just broken using the normal Linux Runtime"
16,2654,"Dear traveller, if the phrase ""Zach-like"" means nothing to you then TURN BACK NOW! However, if you are familiar and are looking for another Zach-like to add to your collection then this might be a good one, especially if you like a challenge. But traveller beware. Know what you are getting into. This game has a handful of tutorial missions and then it will hit you with the mother of difficulty spikes.The reason for this is that unlike many Zach-like games which give you logical components that you wire together in order to achieve different activities or behaviours, in this game the components you are given are a lot more limited and the solutions to the problems involve not just using, but almost abusing these components in ways you are not told about, as well as making copious use of things like race conditions in order to wrestle the required behaviour out of your meagre building blocks.So, dear traveller, the road ahead is not for everyone, many people might find this a little bit on the sadistic side. But if you are looking for a challenge and you have the patience then there is a lot of satisfaction to be gained from working your way up the solution graphs."
17,2653,"Excellent zach-like game that teaches you some programming principles. Like wrapping your head around logic-based puzzles? Then this is for you. No hand-holding though, many players complain about a steep learning curve.It's especially rewarding if you refine your complex and messy solution into something elegant."
18,2649,>Review<A fantastic Zachtronics-style programming puzzler.>Rating< Trash Kind of Crap Not For Me Acceptable Fantastic Hall of Fame
19,2645,"I wanted to like this and initially I did, but it's just too lores, and too primitive compared to a Zachtronics game.   Basically, I felt I was fighting the UI and not solving the problem most of the time.I don't want to have to draw a complicated loop just to repeatedly add one to a number, and have to move everything if I'm too close to the edge of the grid just because the grid is too small for how primitive the operations are."
