,Date_Epoch_Week,Review_Text
0,2704,baba is youbaba is deadbaba is funeral
1,2704,baba is Good :)
2,2704,"this game is hard. it stresses me out and makes me frustrated. dont be fooled by its cute gamestyle, art and music. YES Baba is adorable and you wanna hold him in your pocket or kiss him on the head but sometimes it doesnt feel worth it. sometimes i get so mad trying to solve a level that i just want to smash Baba. then you FINALLY figure out the level and you see the solution was so easy and simple and in your face it feels like the game is laughing at you, looking down on you like it knows it bested you. im not even that far into the game, so i cant imagine how much worse it gets. puzzle games are addictive and this game is fun, and the adrenalin and euphoria rush you get from FINALLY completing a level youve been struggling on is addictive and is a feeling im chasing in my normal life. i cant find it anywhere than this game. i recommend it but if you are impatient or have anger issues id recommend having a guide pulled up just in case. :)"
3,2704,Fun challenging puzzle game. cute graphics and music.
4,2704,"Jan69999zapyta(a) 26.10.2021 o 19:16Czy jak chlopak ""wypuszcza sperme"" to jest jaka odglosChciabym si masturbowac ale boj si e jaki domownik usyszy wytrysk czy to wydaje odgosy czy nie"
5,2704,"New kind of puzzling, stays fresher for longer"
6,2704,Baba is Win
7,2704,GAME IS FUN. GAME IS GOOD. GAME IS CHEAP. BABA IS YOU. FLAG IS WIN. RULE IS CHANGE.
8,2704,Lava is You10/10
9,2704,Big fan of this game. Super fun and challenging puzzles that doesn't force you to beat every one to move on to next section.
10,2704,"super clever puzzle game! talk about thinking outside the box, this game will push your limits of creativity"
11,2704,"good game, honestly its worth enough for the soundtrack alone"
12,2704,Amazing game. Great music!A shame it made me realize how much of a brainlet I am. 0/10 - Love it!
13,2704,Most innovative puzzle game in existence.  Makes it fun to have my brain collapse at the difficulty of the levels.
14,2704,very interesting i laugh when i play
15,2704,a
16,2704,joe biden...
17,2704,babagame is fun        you        and        win
18,2703,"I would like to personally meet the author and shake his hand.Really well done, sir. NOW GIVE ME BACK MY BRAIN YOU DEVILISH BRAT !"
19,2703,Amazing
20,2703,This is one of the few video games I've played where I actually feel smart.
21,2703,One of the best puzzle games ever. So much outside-the-box thinking.
22,2703,Very unique puzzles! Good gameplay
23,2703,Impostor Syndrome SimulatorBABAYA IS WEEPBRAIN IS DEADMIND IS DEFEAT
24,2703,"Never have i felt so dumb and smart in my life, thank you Baba, very cool!"
25,2703,"Want to feel like an idiot yet a genius at the same time? Like being infuriated at the game, and then even more infuriated at yourself when you figured it out? Like trying to not tempt yourself into looking at the answer for a puzzle on YouTube? Then this is the best logic puzzle game for you."
26,2703,very challenging and fun
27,2703,"Great game, a little short for the price but I'm glad I bought"
28,2703,I only played this game a little bit. Baba is making me lose a lot of sleep.
29,2703,"Hello! i recently got Baba Is You and completed the first world 100% (depths) and im wondering where the level editor is! ive seen a few videos where people have made levels, but i cant find the editor myself. is it DLC? hope not lol."
30,2703,great game! on a 1 to 10 scale i would rate it as X = your IQ / 14
31,2703,good
32,2703, this game
33,2703,fun gaem
34,2703,Game gets progressively more challenging and uses previous mechanics you've learned to build onto the difficulty. Super satisfying when you finally figure out the solution!
35,2703,"Whatever you do, don't read spoilers. This is the best puzzle game you will ever play in your life."
36,2703,GAME IS WACK
37,2703,Baba is you. Brain is no. Brain is ow. Game is baba. Baba is good. Baba is cute.
38,2703,"The game is cutsy and defenitelly has a charm to it. However it makes me feel like an idiot >:( Also I cannot go like 1 level without looking up hints on how to solve it, especially in the later stages."
39,2703,Only 5Head allowed
40,2703,puzzles!
41,2703,"I'm not smart enough for this game, but I love the idea and concept. Maybe if I had a programmer's mind I'd do better, but yeah. It's a nice little puzzle game ^-^ One of the good ones, but challenging!"
42,2703,"Super game! Really hard to solve most puzzles later on, very interesting mechanics. Takes ages to solve, so keeps you interested!"
43,2703,One of those memorable puzzle games.
44,2703,"Possibly the best, richest puzzle game I've ever played, and high on the list of best games I've played PERIOD.  Read the reviews, watch the trailers, it's a few bucks well spent."
45,2703,The most clever implementation of a block-pushing puzzle game I've ever seen. I love the creativity of the concept of this game.
46,2703,"Excellent puzzle design, easily worth the money"
47,2702,baba is fun... and neat puzzle game that forces you to not use common sense
48,2702,this game makes me wanna become a game developer myself
49,2702,Great Game. Loved the puzzle design.
50,2702,i might actually be a moron. causes a headache after 90 minutes of play so i recommend taking a lot of breaks and doing anger management techniques
51,2702,
52,2702,"I have nothing to add, just simply creative challenging puzzle game."
53,2702,"Baba is you is an amazingly creative puzzle game. It encourages thinking out of the box, more than any other game I've played. You can't assume anything and it really feels like it teaches you a new way of thinking. However it is not at all a faint game, taking me 40 hours of gameplay to 100% the game; and yes 100%ing the game is definitely worth it."
54,2702,rose is redviolet is bluegame is goodbaba is you
55,2702,baba s me
56,2702,"This is a game where you move things, and those things are the rules of the game. It will make you feel stupid and smart at the same time.Get it, then push objects and rules around."
57,2702,"Truly phenomenal logic puzzle game. Some (read: many) of the levels make me want to tear my hair out, but when I finally do figure out a solution? Triumph bordering on euphoria! Feeling profoundly stupid has never been so fun."
58,2702,"Entertaining, definitely need to think outside of the box sometimes. Took a coding class after playing this game, and honestly it gave me a head start. Can be difficult, there aren't a lot of levels but it might take you a while XD."
59,2702,If you like this game then you are the poop man. Bad game.
60,2702,absolutely spectacular puzzlegame with a brilliant core mechanic and peerless execution
61,2702,"One of the most creative puzzle games I've ever played. So abstract yet when you figure out a solution yourself it feel amazing. I'm only halfway to the end, but some of the puzzles take me days to figure out. This can get frustrating, but it's all part of the charm"
62,2702,"brilliant, cute and mind-melting everything a game should aspire to be"
63,2702,"I just found the puzzles way too hard to solve. There is a website that has all of the solutions, so you can get through all the levels, but I had to look up the answer to almost every puzzle. If you are really good at solving complex logic puzzles this might be the game for you, but it is not for me."
64,2702,Superb. Totally orginal
65,2702,it is a not bad game :)
66,2702,The puzzles are mindbending
67,2702,gamer is you
68,2702,Baba is GAME and WIN and not DEFEAT
69,2702,THIS IS AWESOME GAME
70,2701,Puzzles are cool
71,2701,"Best game I have ever played. Ingenious level design, unexpected new mechanics pop up from time to time. More fun than SSR."
72,2701,Game is hardisgood
73,2701,"Very excellent buy. Relaxing art style, chill music, and mindwarping puzzles gives me the same feeling of when I solve sudoku puzzles. It's basically yoga for your mind."
74,2701,:D
75,2701,tyler is playme is buybrain is hurtbaba is you
76,2701,GAME is HOTBRAIN is MELT
77,2701,Baba Is Best
78,2701,big boobies
79,2701,babais gay
80,2701,So simple and yet so challenging.
81,2701,The MOST AMAZING PUZZLE GAME EVER PERIOD.
82,2701,owie my brain hurt
83,2701,Really challenging game with tons of interesting mechanics and amazing level design.
84,2701,"Everytime I complete a level, my ejaculations grow stronger"
85,2701,"Clever, challenging meta-logical puzzle game with responsive controls including a speedy rewind feature that forgives mistakes. A pleasingly simple, wriggly art style complements the relaxing mood of toying with fundamental archetypes and breaking reality to reach a win condition."
86,2701,BABA IS GOOD
87,2701,fun
88,2701,"7 Hours at the time of writing this review, and although im not even anywhere near halfway through the gamei have realized that a LOT of thought and work went into designing this.If you buy this, you will be frustrated, you will be stuck at some point and think there is no waybut the moment you finally understand what to do is incredibly satisfying,This is a game that truly deserves the 98% positive reviews."
89,2700,brain is hurtgame is hardgame is goodgamer is proudgame is reccomend
90,2700,"I have played this game for no less than an hour at a time. This game has made me question my existence and sense of self. Lovely music and excellent, adorable visuals. 100/10"
91,2700,Harder than any Souls game
92,2700,There are some really tough puzzles in this one - very enjoyable if you want to sit down with a drink and ponder over some noodle scratchers.  The music is funky too!
93,2700,"A great concept executed perfectly,  brilliant.10/10"
94,2700,my brain died
95,2700,Baba is Great
96,2700,fun puzzler
97,2700,i leik baba puzzle    is   funyou is play
98,2700,baba is yougame is goodchallenging is yesrecommended is yes
99,2700,fantastic game full of creativity and surprises. Depend on the RULES but be aware not to be confined to the RULES. This is your game and be the RULE MAKER. That's the coolest thing ever.
100,2700,baba is you? or...is baba me?
101,2700,amazing puzzle game
102,2700,BABA is YOU is a game that forces you to consider what your reality is.If you don't like it ... you can change it!
103,2700,this game broke my brain
104,2700,metasokoban
105,2700,Probably the best puzzle game ever made. Beneath the adorable animations and soothing soundtrack is a diabolical masterpiece that will push the limits of your ability to think outside the box.
106,2700,This game hurts my brain and makes me feel dumber than a kindergartener. 10/10
107,2700,"Since I do not have a galaxy brain, I cannot even get close to beating this game. I have played enough to know that this is a fantastic game about making and breaking the rules and the whole game is basically a tutorial. Baba Is You is designed in such a way that you'll start trying the first solution you can think of only to find out the dev also thought of that and blocked it to force your brain to expand. You will need some help to solve these puzzles but luckily there are some excellent guides out there that will give you a series of escalating hints until they reveal a solution that leaves you staring at the screen either saying ""How was I possibly supposed to figure that out?"" or ""I was so close!"""
108,2700,One of the best puzzle games ive ever played. So simple and so brilliant!
109,2700,"This is a truly devilish puzzle game. At its simplest, it's a mashup of a logic puzzle and a block-pushing game, which would in itself be a wholly unique combination of ideas. Yet where this game truly shines is in its level and puzzle design. The game is almost relentless in simultaneously getting you to discover new ideas and mechanics while breaking your prior assumptions of old ones that you thought you already mastered. There's a constant feeling of floating in a mental void of mystery and potential, caught between a ceiling of possibility that is ever expanding above you and a floor of understanding that is ever receding beneath you."
110,2700,brain pain.
111,2700,Mind is MeltPuzzle is FunGame is GoodRecommendation is Multiply.
112,2700,Dumb is me
113,2700,Completed this game last night. My brain hurts still from all the puzzles. Highly recommend to play it but as a completionist please spare your mind.
114,2700,Game is hard
115,2700,Baba is youdifficult is yes
116,2700,Game is great.
117,2699,Very fun and challenging
118,2699,very cool very nice
119,2699,Brain in Pain is You
120,2699,"I appreciate the ability to remove animation and sound, but also appreciate how cute it is when it's NOT removed."
121,2699,Absolutely melted my brain. Highly recommend!
122,2699,"If you saw the game's trailer you know all you need to know about the game.Baba Is You... is a programming language... disguised as a Sokoban puzzle. As an aspiring computer/software programmer, that's how I describe it. Sokoban but with the addition of text denoting objects (BABA, FLAG, ROCK, ...), attributes (YOU, STOP, PUSH, ...), and keywords (IS, AND, NOT, ...) designed to form ""rules"" for each level.This whole rule making-and-breaking concept truly makes this puzzle game unique and encourages a new puzzle-solving mindset, and I love it for that.At the time of writing I haven't finished the game - as you progress, the puzzles really require out-of-the-box thinking, so if you decide to get it, prepare to sit there for potentially hours. I do really want to 100% this game one day."
123,2699,my brain is too small for this
124,2699,"Makes me feel like an idiot, then it makes me feel like a genius, but mostly it makes me feel like an idiot."
125,2699,Good
126,2699,It is such a smart puzzle game that is very fun!
127,2699,cool puzzle game
128,2699,Game Is Best
129,2699,"Hands down the best puzzle game out there and well underpriced. If you've enjoyed any other puzzle game, buy it."
130,2699,i enjoy repeatedly removing baba from existence
131,2699,Text is mind-bending.
132,2699,Not much to say that other people haven't said before and better. Probably the best puzzle game I've ever played.
133,2699,This game force me to be smarter against my will
134,2699,Its good
135,2698,U
136,2698,I refuse to be beaten by this game but damn Baba's got hands
137,2698,Baba Is Hard. Me Is Dumb. Game Is Fun.
138,2698,yea ok
139,2698,"This game is great! You spend a long time thinking about how to do it, fail many times only to realise that you are an idiot and the answer was simple. But wait, you were an idiot again and it was not simple."
140,2698,Amazing Game
141,2698,Baba is GodBrain is Hurt
142,2698,BABA IS POG
143,2698,The single greatest puzzle game I've ever played. And with a certain amount of replayability with how many levels there are it can be difficult to remember how to beat them.
144,2698,"Adorable art, great music, challenging puzzles that make you feel like a genius when they click. The one thing that holds this game back from being the literal perfect puzzle game for me is that a few of the solutions are really hard to intuit (particularly when new mechanics are introduced) and I think a hint system could've helped prevent the handful of times I had to pull up hints online (for those who are struggling but don't want to just look up the solutions, IGN has a walkthrough that trickles hints to you one at a time as you need them). That's a tiny criticism that only really applies to a couple of levels out of hundreds, overall one of if not the single best puzzle game I've ever played."
145,2698,Good game
146,2698,music           brainbaba on computer is smile         ear              pain          is        vibe
147,2698,Great puzzle gameYour brain will meltand your brain will expand when you figure out the solution
148,2698,Roses Are RedViolets Are BlueBaba Is BestGame Is BuyTLDR; literally the best game i every played and its definitely worth the price10/10
149,2698,"Intellectually fun with blooming emotional backgrounds, this game simply presents itself as what it is.  A personal favorite."
150,2698,big brain game
151,2698,love the art and music. i wish i wasnt stupid
152,2698,If you love puzzles this is a game for you
153,2698,"Wow, holy crap. This is always happens with good games, but I very much regret not playing this earlier haha. This is one of the best puzzle games ever made. Damn. This is like a programmers wet dream. All the logic gates in your head, twisted constantly until it hurts. But you keep coming back."
154,2698,"I uhhh, man what a good game.This game is tough AF, but never cave and search solutions.  Just come back to it.  This is'nt a binge game but a game to play with friends, family, and also by yourself.  I've had alot of memories playing this game with friends and getting stuck on a level.  We would text possible solutions to the level as we ""marinated"" on the puzzle.Highly recommended, this game has placed itself in my most memorable games. Its hella challenging but the amount of endorphins released when you finally solve that puzzle on your own is indescribable."
155,2698,baba is me
156,2698,review is youreview is win
157,2698,"baba is you willl challenge you, and in the best ways possible. Its confoundable but also highly rewarding. Would recommend if you enjoy puzzler games"
158,2698,cool game very good game
159,2698,words
160,2698,Insane game
161,2698,"Baba is YouBaba is ThinkBaba is TryBaba is DefeatBaba is ConfusedBaba is ThinkBaba is TryBaba is DefeatBaba is ConfuseBaba is Go CrazyOkay but seriously, this game is really fun, but also very, very, VERY difficult.  By the end of it all, you'll likely have a basic understanding of programming, assuming you haven't fried every brain cell you have.I'm still unsure which will end up happening to me."
