,Date_Epoch_Week,Review_Text
0,2704,Nice for programmers and people who want to begin with programming.
1,2704,"You kknow how at work you get an interesting programming task, which you quickly mash out and then you spend the rest of your time fixing weird bugs?This is that, but cute, so it's fun."
2,2703,Great way to get the creative juices flowing.  Great way to relax and unwind after work.
3,2702,there are less than 7 billion humans in the game
4,2701,"Programming puzzles, love'em!!!"
5,2701,"    ,     "
6,2700,"this is a fantastic game - fun, challenging, and very satisfying."
7,2697,"7 Billion Humans is a much improved sequel to Human Resources Machine, and I'd say one of the better casual programming puzzle games out there. In most puzzle games, there's one predetermined solution, and the tasks are made in a way that would make it impossible to come up with any other approach. This game is not like that - it gives you a set of tools, and you solve the problem as you see fit, no pressure in how you do that - and this is close to an ideal puzzle game for me. And you're not getting lost in this freedom, it is apparent which tools you need to use to reach the goal. You might need to implement a certain solution if you're trying to complete optional tasks, but this is up to you, there's no unlocks besides achievements for doing so.Pretty much all the gripes I had with HRM are fixed in this game - it is longer (it took me around 10 hours to finish the game without optional challenges), it uses more high-level commands so programming does not feel like a chore, the tasks are purposeful and visually comprehensible.I have a few nitpicks though:1) Some mechanics are underutilized, like buttons, sensors and displays in the last few levels. Also, some tasks do not let you use certain commands, which is a shame. Kinda asks for level editor, eh?2) When optimizing a program for execution speed, I wish there was a profiler of sorts to see how long each line takes, or at least a clear way to see a command execution time, without manually checking it with a timer.3) I wish there was an explanation for certain nuances of commands. For example, I was avoiding combining ANDs and ORs in conditionals because it is not explained how they are grouped.  The directional checks are also quite nondeterministic in how they happen in a dynamic environments, like when a box you just checked gets picked up before you can do anything about it, and I get it that multithreading is naturally undeterministic, but sometimes I had to manually tweak the solution around that, hoping that it'll stickTL;DR A nice puzzle game about programming, don't look at big words I randomly threw about, it is really not that hard, try it out"
8,2694,"Cute, not too difficult, and all around good fun . You'll probably know if this is something for you or not. Just wish I could type but the indentation is already a huge step-up."
9,2692,Hilariously fun way to learn basic programming logic! I love this game ^D^/
10,2691,"Going into this game with basically no prior coding knowledge, it was fun and educational while also making me feel smooth-brained. I made it through about a third of the puzzles before my noggin couldn't take it anymore.Bonus points for the story line being cute and entertaining."
11,2690,Probably the silliest programming logic game i have played and provided many laughs on how those office workers are treated.  If you've been looking to play a logic game that doesn't have the serious tone that most of them do this is a good choice for that.If your looking for a chill stream that doesn't stick to one game check me out at https://www.twitch.tv/justthepassenger !
12,2689,"Once again, a great creation from the Tomorrow Corporation. I loved the Human Resource Machine and this is just a great sequel for it."
13,2689,great game with  puzzles [u/]
14,2689,Pretty good and difficult game that has taught me my college degree in Programming is actually total garbage.
15,2688,"A cute, fun, coding puzzle game. I got stumped by one of the concepts, but the game let me skip it, so I still got to reach the end. ;D"
16,2688,Yes
17,2688,Its a relex game after long day of programming.
18,2687,"Great game, if you like programming definitely get this one."
19,2687,theres a reason i havent played this in 2 years
20,2687,Very amusing and satisfying when your program works. Quite a cerebral challenge that I like!
21,2687,Fun casual programming that get's challenging in the latest stages and when optimizing. It's not really aimed at people experienced with programming as the programming aspect itself is pretty basic (drag and drop) and doesn't allow for any QoL features. I already recommended Human Resource Machine and this one is just as fun.
22,2686,Fun and with very nice mechanics.
23,2686,"7 Billion Humans, like its predecessor Human Resource Machine, is a great game. It has a good tutorial. It is short but also cheap. It does a good job teaching programming basics using a GUI block-style system. It also has pretty interesting and cynical commentary on corporations, which I love. I heartily recommend this game.However as a programmer of many years I have 1 major issue with this game. Like every programming game I've played so far, It uses a style of programming which becomes very tedious as the challenges get more complicated. It becomes nearly impossible to logically reason your way through the challenges... you must resort to trial and error. Early in my career I tried to get away from doing programming because most learning materials modeled programming this way. It is a horrendously boring way to solve problems. 7 Billion Humans triggered that same feeling in me and I stopped playing it at that point. I did complete HR Machine to finish the story but for the last handful of levels I looked up solutions. Because it just wasn't fun.My suggestion to the game devs is this: introduce functions in later levels of the game. This one feature would bring the game back from mostly trial and error in latter levels to something more fun and manageable. And like in real programming it provides a sense of progression. You could save solutions from previous challenges as functions to easily reuse them in later levels. You'd additionally have all my respect if you went to functional instead of imperative programming. But you would have to come up with much more complicated puzzles because the game as is would be far too easy.Great game, cheap, must buy. If you are interested in programming, don't let the advanced levels of the game turn you off to it."
24,2686,It's great. Fun and I learned something about programming here.
25,2686,You know what? coding as a game is cool. you should get this.
26,2686,"Nice one to relax, pretty engaging, challenges are well-done. Solid 8.5/10"
27,2685,"The most interesting game in a year! My only wish: Please add Steam Workshop! I would love my son to be able to write his own functions, commands and levels."
28,2684,"Rating:7/10Completion difficulty: 1/10Welcome (again) to the wonderful world of programming! This game goes a little further compared to human resource marchine: instead of just doing basic programming, you will do things that computers execute every day! Defragmenting, for instance. This may seem daunting at first... but the game's aesthetics are clear and not unpleasant to the eyes, which helps to cut down on confusion. The levels also start easy and then ramp up on difficulty until they are very tough. Although if you can't seem to get the optimisation rewards on some levels, you can use one of the guides on the internet with a convenient copy and paste feature. If you're just here for the achievements, this makes the game trivial. Personally, I did not like the story or character design that much (but that is objective and you may like it more. It is in a similar vein to the one in human resource machine, but not the same.) The puzzles are great though. Recommended if you're interested in programming, even if you have no knowledge of it! Although playing human ressource machine first will make the experience more pleasant."
29,2682,I'm only doing this because my dad wants me to do programming so here i am
30,2682,!!!!!
31,2682,What could be better than assembly? SIMD. 10/10.
32,2681,ggood
33,2680,"I enjoyed the predecessor ""HUMAN RESOURCE MACHINE"" a bit more, so I'd suggest getting that first as it has a simpler/more limited set of instructions.But if you liked it, you'll also like this."
34,2677,"My review will be pretty similar to the one for Human Resource Machine, as this game is so alike.Pretty fun/original puzzle game, disconcerting pseudocode but you get used to it, works nice in windowed mode.I'd say the only major difference with Human Resource Machine is that you can skip cutscenes in this one, yay!On the minus side, there is still no sound/volume setting.On the minus side as well, it really feels like there is nothing noticeable new. If you liked Human Resource Machine and want more, go for it. If you feel you're getting bored... give it a pass : it's just ~66 levels of the very same thing."
35,2675,"This game saved my life.I am 46.My ex-wife and I have a daughter together, and adopted our son together. They are now both 4 years old.When we were going through our separation, I found myself lost and miserable. I was self destructive. I got so mad one day from everything spiralling out of my control that I punched some concrete in a moment of overwhelming emotion. That caused me to break my 5th metacarpal in my right hand... my working hand... my games hand.. the hand that I held and carried my children to bed with.. The hand I desperately needed to make sure I could continue to provide.After learning of the severity of my self-inflicted damage, I was borderline suicidal. Keep in mind that just a few months before this, I was the happiest man with no history of depression or anxiety. I have never had fits of rage, or been one to break down and cry, but I was in a low spot that just really buried me from being able to see the light on the other side.Having nothing better to do, I searched for a game I could play, ONE HANDED while I recovered. I somehow stumbled upon this game and read some of the reviews. I decided that it had to be worth a shot... I must admit, I didn't beat the game, or play nearly as long as some of you. In fact, I may have only played this game a day or two.. With that being said, after doing so, I had a new found joy and hope for life. I was able to put behind me the pain and suffering that had been cast over me. I was able to experience other peoples joy and happiness. I was able to see the fruits of my ""labor"". I relaxed for 5  minutes to this music long enough to realize that I was going to be okay.After coming to that realization, I turned the game off, and I went back to work. It hurt my hand like hell but I was motivated. I stopped feeling so damn sorry for myself, and I became the father I needed to be in that moment, not the weak boy I was behaving as.Today, I am close friend with my kids mother. We don't fight, or argue, or say hurtful things to each other. We are parents, and friends.I now have 3 kids. My third child is, wait for it, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my own separation, and we just stumbled in to each others life unexpectedly. We have been in a relationship for a year now, and are very happy together.Moral of the story, you never know what life holds in store for you, and if I would have given up when all the odds were stacked against me, I wouldn't be where I am today. This silly little game helped me realize that.Thank you."
36,2675,Its a great game if you like writing programs
37,2674,"It's an entertaining game involving introduction to programming concepts in a unique (and sometimes surrealist) art form - very similar to World of Goo.Challenge level depends pretty heavily on your experience with programming algorithms, but they also provide a few different type of objectives for each level which is nice for replay (just pass it, least # lines, fastest).I'm still playing through it, but it's a nice relaxing game to play that literally only needs your mouse.I'd recommend trying it."
38,2673,"7 Billion Humans is a programming game that's pretty much a sequel to Human Resource Machine. The game consists in solving programming challenges using visual blocks representing commands to give to each ""person"" on screen.The game can get very challenging, especially if you want to optimize your program. The art style is is charming and the story is minimal, but it doesn't need to be any more than that. It could be more user friendly: you can't copypaste specific parts and programs can become labyrinthic in the later levels.In the end I'd say that if you like programming you are going to like this game."
39,2673,great
40,2671,The challenge are real.  The people are cute.  Good programming exercise!
41,2670,"Pretty entertaining, with the silly scenarios, and the puzzles are probably a reasonable challenge for most people but if you're a programmer this will likely be a bit boring."
42,2670,"It could be much more user friendly: you cannot copy - paste specific parts, or it's not as easy as working on a text program. The language is a little weird and if statements become a labyrinth after a while, but it's the charm of the game."
43,2669,neato
44,2669,"This game was just perfect for me. The core of the game is educational material. Some sort of introduction to computer programming. Don't run away when you hear ""education"" in review! It doesn't feel like it for a second. Is is rather entertaining and often quite challenging collection of puzzles. I would like to give a special praise to the subtle humor. This game is good as a game, but it is even better as an social commentary kind of art. You have to play it just for that."
45,2668,"Very simple, very good game that mixes basic programming with puzzles of all difficulties. Early levels feel like a breeze, but later levels will make you go insane at times."
46,2668,Distributed systems programming has never been so fun.
47,2668,"One of my favourite games ever!I deal for casual gamers who prefers thinking a bit. No pressure - unless you'd like to meet the challenges...Really good:- the whole game design and feeling is the best, smooth quality feeling, scalable window, cool graphics- challenges are really well designed and sometimes looks impossible at first look (at later stages)- tutorial is the game itself, hints are helpful- good sense of humor- motivating: what are the next rooms? new instructions?- my son loves the coffee breaks so muchTo improve: really just for feedback, this game is well done- major: more like this!!! :-)- medium: more than 16x speed- minor: ""step back"" would be nice (as in Human Resource) - minor: once people done, it would be nice to see the whole screen and see the states (can be solved by easily adding an endless loop)- minor: I liked that people have names. Why randomly re-assign those?- minor: sound effects are a bit annoying- minor: Boss text should be skippable as a whole (both in the beginning and when solved)Feature ideas:- IF statement on what's heard & say a number or a variable - subroutines of course- more tabs or save code option to have more versions (5 would be enough)- textual comments, no just I write w/my mouse sg. Keep graphics, really cool as wellThis is the game you buy as you'd like to support the makers to make more like this. So unique and well made.Thank you!"
48,2668,"I enjoy this game a lot. I have software developer education but chose to pursue marketing. Even so I like this game, because it trains my mind. It can be fun and very challenging.If you are a hardcore developer you definitely should complete it by 100%"
49,2667,"I run it for the first time and I played for 11 hrs straight. My brain is burning, but I love this game. I highly recommend!"
50,2666,"It's fun to be encouraged to be a terrible 'clever' programmer, with zero cares about robustness or maintainability.  Also, non-programmers in the house wanted to try - that's a pretty strong recommendation.Recommend avoiding the ""best known"" speed info - those solutions are often just boring brute-force, e.g. unrolled loops, long programs with explicit directions for each meeple.  The in-game speed goals are great for pushing you to be just a bit more creative though."
51,2666,"Enjoyed this game a lot.Having a programming background, the game for me had the perfect balance between having simple fun tasks that you can try to optimize as well as very challenging levels that can easily escalate into a lot of spaghetti code!"
52,2666,"It's a great game if you like programming puzzles, The language is drag and drop so it's more fun than real work :)Humour is good, you learn to love-hate your bosses!"
53,2666,"I'm sure it will be worth it -- it'll be definitely worth it if you are going to be writing some type of code.But if you just want to feel like a programmer to get things done, this works too."
54,2665,1+12
55,2664,"Worthy sequel to Human Resource Machine. This time instead of emulating a simple CPU, you're emulating something more akin to a GPU: you get a whole team of human people, and you have to give them one shared set of instructions that will lead each of them to be doing the things you need them to do to complete the missions. Single Instruction, Multiple Data."
